1,77
1,9
1,2
2,8
2,1
2,77
3,9
3,4
3,6
4,3
4,17
5,6
5,74
6,3
6,5
6,7
6,69
7,6
7,10
8,2
8,11
9,1
9,3
10,7
10,11
11,8
11,10
12,19
12,13
12,14
13,12
13,14
13,15
13,20
14,12
14,13
14,15
15,13
15,14
15,16
16,22
16,21
17,18
17,4
17,39
18,17
18,19
19,18
19,12
20,13
20,26
21,22
21,27
22,16
22,16
22,27
23,24
23,25
24,23
24,25
25,23
25,24
25,29
25,27
26,28
26,30
26,29
27,22
27,25
27,29
28,29
28,26
29,28
29,27
29,26
29,25
30,26
30,35
31,38
31,37
31,34
31,39
32,37
33,40
34,35
34,39
34,32
35,34
35,30
36,40
36,37
37,36
37,32
38,31
38,39
38,42
39,38
39,34
39,17
39,31
40,44
40,33
40,36
41,42
41,51
41,53
42,60
42,38
42,41
42,52
43,44
43,60
44,43
44,40
44,53
45,61
45,56
46,61
46,47
47,46
47,48
47,56
48,47
48,49
48,57
48,62
49,48
49,57
49,58
49,50
50,54
50,58
50,49
51,59
51,52
51,41
52,51
52,69
53,44
53,41
53,54
54,55
54,53
54,50
55,59
55,50
56,45
56,61
57,48
57,69
58,50
58,59
58,49
59,58
59,51
60,41
60,42
60,43
61,45
61,47
61,46
62,69
62,75
62,71
63,71
63,76
64,71
64,65
64,72
65,64
65,73
65,66
65,67
66,65
66,72
66,67
67,65
67,66
67,68
67,73
68,67
68,70
68,74
69,6
69,62
69,57
70,71
70,73
70,75
70,68
71,76
71,70
71,64
72,64
72,66
72,76
73,67
73,70
73,68
74,68
74,5
75,69
75,62
75,70
76,63
76,72
76,71
76,64
77,1
77,2
78,78
78,39
78,38
78,17
78,3
78,6
78,69
78,68
79,38
79,79
79,42
79,52
79,41
79,69
